highseed,highseedschool,highseedscore,lowseed,lowseedschool,lowseedscore,region,date,round
1,Gonzaga,87,16,Fairleigh Dickinson,49,West,3/21/19,64
2,Kentucky,79,15,Abilene Christian,44,Midwest,3/21/19,64
2,Michigan State,76,15,Bradley,65,East,3/21/19,64
2,Michigan,74,15,Montana,55,West,3/21/19,64
3,Purdue,61,14,Old Dominion,48,South,3/21/19,64
3,LSU,79,14,Yale,74,East,3/21/19,64
4,Kansas,87,13,Northeastern,53,Midwest,3/21/19,64
4,Florida State,76,13,Vermont,69,West,3/21/19,64
5,Marquette,64,12,Murray State,83,West,3/21/19,64
5,Auburn,78,12,New Mexico State,77,Midwest,3/21/19,64
6,Maryland,79,11,Belmont,77,East,3/21/19,64
6,Villanova,61,11,Saint Mary's,57,South,3/21/19,64
7,Nevada,61,10,Florida,70,West,3/21/19,64
7,Louisville,76,10,Minnesota,86,East,3/21/19,64
7,Wofford,84,1,Seton Hall,68,Midwest,3/21/19,64
8,Syracuse,69,9,Baylor,78,West,3/21/19,64
1,Virginia,71,16,Gardner-Webb,56,South,3/22/19,64
1,UNC,88,16,Iona,73,Midwest,3/22/19,64
1,Duke,85,16,North Dakota State,62,East,3/22/19,64
2,Tennessee,77,15,Colgate,70,South,3/22/19,64
3,Houston,84,14,Georgia State,55,Midwest,3/22/19,64
3,Texas Tech,72,14,Northern Kentucky,57,West,3/22/19,64
4,Kansas State,64,13,UC-Irvine,70,South,3/22/19,64
4,Virginia Tech,66,13,Saint Louis,52,East,3/22/19,64
5,Mississippi State,76,12,Liberty,80,East,3/22/19,64
5,Wisconsin,54,12,Oregon,72,South,3/22/19,64
6,Buffalo,91,11,Arizona State,74,West,3/22/19,64
6,Iowa State,59,11,Ohio State,62,Midwest,3/22/19,64
7,Cincinnati,72,10,Iowa,79,South,3/22/19,64
8,VCU,58,9,UCF,73,East,3/22/19,64
8,Ole Miss,72,9,Oklahoma,95,South,3/22/19,64
8,Utah State,61,9,Washington,78,Midwest,3/22/19,64
